Time,Temperature,Humidity
20260725T000003Z,26.5,78.4
20260725T000018Z,26.3,78.1
20260725T000033Z,26.2,78.6
20260725T000048Z,26.2,80.9
20260725T000103Z,26.2,83.0
20260725T000118Z,26.2,84.2
20260725T000133Z,26.2,84.8
20260725T000148Z,26.3,85.0
20260725T000203Z,26.3,85.2
20260725T000218Z,26.3,85.3
20260725T000233Z,26.3,85.5
20260725T000248Z,26.3,85.7
20260725T000303Z,26.3,85.8
20260725T000318Z,26.3,86.1
20260725T000333Z,26.4,86.4
20260725T000348Z,26.4,86.7
20260725T000403Z,26.4,87.0
20260725T000418Z,26.4,87.0
20260725T000433Z,26.4,87.2
20260725T000448Z,26.4,87.3
20260725T000503Z,26.4,87.7
20260725T000518Z,26.5,87.9
20260725T000533Z,26.5,88.0
20260725T000548Z,26.5,88.2
20260725T000603Z,26.5,88.2
20260725T000618Z,26.5,88.4
20260725T000633Z,26.6,88.6
20260725T000648Z,26.6,88.8
20260725T000703Z,26.6,88.9
20260725T000718Z,26.6,89.3
20260725T000733Z,26.6,89.6
20260725T000748Z,26.7,89.7
20260725T000803Z,26.7,89.7
20260725T000818Z,26.7,89.9
20260725T000833Z,26.7,90.0
20260725T000848Z,26.7,90.3
20260725T000903Z,26.7,90.5
20260725T000918Z,26.7,90.6
20260725T000933Z,26.8,90.6
20260725T000948Z,26.8,90.8
20260725T001003Z,26.8,90.9
20260725T001018Z,26.8,91.1
20260725T001033Z,26.8,91.0
20260725T001048Z,26.8,91.2
20260725T001103Z,26.9,91.4
20260725T001118Z,26.9,91.5
20260725T001133Z,26.9,91.6
20260725T001148Z,26.9,91.7
20260725T001203Z,26.9,91.7
20260725T001218Z,26.9,91.9
20260725T001233Z,26.9,91.9
20260725T001248Z,27.0,92.1
20260725T001303Z,27.0,92.1
20260725T001318Z,27.0,92.1
20260725T001333Z,27.0,92.3
20260725T001348Z,27.0,92.4
20260725T001403Z,27.0,92.5
20260725T001418Z,27.0,92.5
20260725T001433Z,27.1,92.6
20260725T001448Z,27.1,92.7
20260725T001503Z,27.1,92.7
20260725T001518Z,27.1,92.8
20260725T001533Z,27.1,92.9
20260725T001548Z,27.1,92.8
20260725T001603Z,27.1,92.9
20260725T001618Z,27.2,93.1
20260725T001633Z,27.2,93.1
20260725T001648Z,27.2,93.1
20260725T001703Z,27.2,93.2
20260725T001718Z,27.2,93.2
20260725T001733Z,27.2,93.3
20260725T001748Z,27.2,93.3
20260725T001803Z,27.2,93.3
20260725T001818Z,27.3,93.3
20260725T001833Z,27.3,93.4
