Time,Temperature,Humidity
20260813T000001Z,26.2,89.2
20260813T000016Z,26.2,89.1
20260813T000031Z,26.2,89.3
20260813T000046Z,26.2,89.5
20260813T000101Z,26.2,89.4
20260813T000116Z,26.2,89.6
20260813T000131Z,26.2,89.7
20260813T000146Z,26.3,89.6
20260813T000201Z,26.3,89.7
20260813T000216Z,26.3,89.8
20260813T000231Z,26.3,90.0
20260813T000246Z,26.3,90.0
20260813T000301Z,26.3,90.1
20260813T000316Z,26.3,90.1
20260813T000331Z,26.3,90.2
20260813T000346Z,26.3,90.3
20260813T000401Z,26.4,90.4
20260813T000416Z,26.4,90.3
20260813T000431Z,26.4,90.3
20260813T000446Z,26.4,90.4
20260813T000501Z,26.4,90.5
20260813T000516Z,26.4,90.5
20260813T000531Z,26.4,90.5
20260813T000546Z,26.4,90.7
20260813T000601Z,26.4,90.7
20260813T000616Z,26.5,90.8
20260813T000631Z,26.5,90.8
20260813T000646Z,26.5,90.7
20260813T000701Z,26.5,90.8
20260813T000716Z,26.5,90.8
20260813T000731Z,26.5,90.9
20260813T000746Z,26.5,90.9
20260813T000801Z,26.5,90.9
20260813T000816Z,26.5,90.8
20260813T000831Z,26.6,90.9
20260813T000846Z,26.6,90.8
20260813T000901Z,26.6,90.9
20260813T000916Z,26.6,91.0
20260813T000931Z,26.6,91.0
20260813T000946Z,26.6,91.0
20260813T001001Z,26.6,91.0
20260813T001016Z,26.6,91.0
20260813T001031Z,26.6,91.0
20260813T001046Z,26.6,91.0
20260813T001101Z,26.6,90.9
20260813T001116Z,26.7,91.0
20260813T001131Z,26.7,90.2
20260813T001146Z,26.7,90.1
20260813T001201Z,26.7,88.3
20260813T001216Z,26.6,87.7
20260813T001231Z,26.6,87.1
20260813T001246Z,26.6,86.0
20260813T001301Z,26.5,85.3
20260813T001316Z,26.4,84.7
20260813T001331Z,26.4,83.9
20260813T001346Z,26.3,83.5
20260813T001401Z,26.2,83.2
20260813T001416Z,26.2,83.2
20260813T001431Z,26.1,82.6
20260813T001446Z,26.1,81.7
20260813T001501Z,26.0,81.1
20260813T001516Z,25.9,80.9
20260813T001531Z,25.9,80.6
20260813T001546Z,25.8,80.0
20260813T001601Z,25.8,79.4
20260813T001616Z,25.7,79.0
20260813T001631Z,25.7,80.4
20260813T001646Z,25.6,81.3
20260813T001701Z,25.6,81.7
20260813T001716Z,25.6,82.3
20260813T001731Z,25.6,83.0
20260813T001746Z,25.6,83.4
20260813T001801Z,25.6,83.6
20260813T001816Z,25.6,83.7
20260813T001831Z,25.6,84.0
20260813T001846Z,25.6,84.2
20260813T001901Z,25.6,84.6
20260813T001916Z,25.7,84.8
20260813T001931Z,25.7,84.9
20260813T001946Z,25.7,85.0
20260813T002001Z,25.7,85.2
20260813T002016Z,25.8,85.3
20260813T002031Z,25.8,85.4
20260813T002046Z,25.8,85.6
20260813T002101Z,25.8,85.8
20260813T002116Z,25.9,86.0
20260813T002131Z,25.9,86.2
20260813T002146Z,25.9,86.3
20260813T002201Z,25.9,86.5
20260813T002216Z,25.9,86.7
20260813T002231Z,25.9,86.9
20260813T002246Z,25.9,87.0
20260813T002301Z,26.0,87.1
20260813T002316Z,26.0,87.2
20260813T002331Z,26.0,87.5
20260813T002346Z,26.0,87.6
20260813T002401Z,26.0,87.7
20260813T002416Z,26.0,87.8
20260813T002431Z,26.1,88.0
20260813T002446Z,26.1,88.1
20260813T002501Z,26.1,88.2
20260813T002516Z,26.1,88.2
20260813T002531Z,26.1,88.5
20260813T002546Z,26.1,88.5
20260813T002601Z,26.2,88.8
20260813T002616Z,26.2,88.7
20260813T002631Z,26.2,89.0
20260813T002646Z,26.2,88.9
20260813T002701Z,26.2,89.0
20260813T002716Z,26.2,89.3
20260813T002731Z,26.2,89.3
20260813T002746Z,26.2,89.5
20260813T002801Z,26.2,89.6
20260813T002816Z,26.2,89.6
20260813T002831Z,26.3,89.7
20260813T002846Z,26.3,89.8
20260813T002901Z,26.3,89.8
20260813T002916Z,26.3,89.9
20260813T002931Z,26.3,90.0
20260813T002946Z,26.3,90.1
20260813T003001Z,26.3,90.1
20260813T003016Z,26.3,90.1
20260813T003031Z,26.3,90.4
20260813T003046Z,26.4,90.4
20260813T003101Z,26.4,90.4
20260813T003116Z,26.4,90.5
20260813T003131Z,26.4,90.5
20260813T003146Z,26.4,90.6
20260813T003201Z,26.4,90.7
20260813T003216Z,26.4,90.7
20260813T003231Z,26.5,90.7
20260813T003246Z,26.5,90.7
20260813T003301Z,26.5,90.8
20260813T003316Z,26.5,90.8
20260813T003331Z,26.5,90.9
20260813T003346Z,26.5,90.8
20260813T003401Z,26.5,90.9
20260813T003416Z,26.5,90.9
20260813T003431Z,26.5,90.8
20260813T003446Z,26.5,90.9
20260813T003501Z,26.5,90.9
20260813T003516Z,26.6,91.0
20260813T003531Z,26.6,91.0
20260813T003546Z,26.6,91.0
20260813T003601Z,26.6,91.0
20260813T003616Z,26.6,91.1
20260813T003631Z,26.6,91.0
20260813T003646Z,26.6,91.1
20260813T003701Z,26.6,91.0
20260813T003716Z,26.6,90.2
20260813T003731Z,26.6,89.5
20260813T003746Z,26.6,88.5
20260813T003801Z,26.6,87.9
20260813T003816Z,26.6,87.6
20260813T003831Z,26.5,85.9
20260813T003846Z,26.5,85.9
20260813T003901Z,26.5,85.6
